,DEPT,ASP,Facies_IPSOM_IPSOM,GR,LLD,PHIE,TNPH,VSH_GR,WELL
177521,1112.1,0.442098,4.0,165.645,12.02582,0.228538,0.30402,0.2138861,63
177522,1112.2,0.432138,3.0,164.7337,11.86597,0.226448,0.30192,0.2072614,63
177523,1112.3,0.420578,3.0,163.6763,11.78363,0.223848,0.2994,0.1998303,63
177524,1112.4,0.407958,4.0,162.4275,11.79356,0.221233,0.29688,0.1913977,63
177525,1112.5,0.394878,4.0,161.0887,11.981,0.219369,0.2952,0.1827521,63
177526,1112.6,0.381858,4.0,159.9975,12.14286,0.21713,0.29352,0.1759946,63
177527,1112.7,0.374718,4.0,158.7375,12.42084,0.215737,0.29184,0.1685023,63
177528,1112.8,0.368578,4.0,157.4325,12.76384,0.214868,0.29058,0.1610785,63
177529,1112.9,0.356618,4.0,156.465,12.91011,0.212809,0.28932,0.1557866,63
177530,1113.0,0.346638,4.0,155.6325,13.04815,0.210833,0.28806,0.1513724,63
177531,1113.1,0.339698,4.0,154.7213,13.24602,0.209315,0.2868,0.1466841,63
177532,1113.2,0.336998,1.0,154.2038,13.53528,0.208497,0.28596,0.1440864,63
177533,1113.3,0.339438,4.0,154.2487,14.06668,0.209248,0.28638,0.1443105,63
177534,1113.4,0.346478,4.0,154.5525,14.6851,0.210884,0.28722,0.1458319,63
177535,1113.5,0.357058,4.0,155.1712,15.40474,0.213575,0.2889,0.1489809,63
177536,1113.6,0.369938,4.0,156.1838,16.02598,0.216596,0.291,0.1542811,63
177537,1113.7,0.383758,4.0,157.5113,16.52376,0.219767,0.29352,0.1615171,63
177538,1113.8,0.397418,4.0,158.76,16.95235,0.223277,0.29646,0.1686333,63
177539,1113.9,0.410618,4.0,159.6937,17.46705,0.227756,0.30024,0.1741584,63
177540,1114.0,0.423558,4.0,160.3913,18.09662,0.233185,0.30486,0.1784035,63
177541,1114.1,0.436478,4.0,161.0663,18.75889,0.238972,0.3099,0.1826102,63
177542,1114.2,0.449538,4.0,161.37,19.34341,0.244665,0.31452,0.1845354,63
177543,1114.3,0.462658,4.0,161.3813,19.93167,0.250605,0.31914,0.1846071,63
177544,1114.4,0.475638,4.0,161.4713,20.09793,0.254705,0.32208,0.1851816,63
177545,1114.5,0.488098,4.0,161.6287,19.77785,0.256526,0.32292,0.1861914,63
177546,1114.6,0.499518,4.0,161.6175,19.31718,0.257542,0.32292,0.1861191,63
177547,1114.7,0.509658,4.0,161.73,18.61239,0.257016,0.32166,0.1868434,63
177548,1114.8,0.518218,4.0,162.2813,17.87126,0.255858,0.3204,0.1904337,63
177549,1114.9,0.525058,4.0,163.0912,17.116,0.254244,0.31914,0.1958346,63
177550,1115.0,0.530198,4.0,163.9238,16.44851,0.252856,0.3183,0.2015453,63
177551,1115.1,0.533538,4.0,164.6662,15.95875,0.252244,0.3183,0.2067789,63
177552,1115.2,0.534938,4.0,165.3862,15.61454,0.252329,0.31914,0.2119838,63
177553,1115.3,0.534358,4.0,165.8925,15.37483,0.252929,0.3204,0.2157217,63
177554,1115.4,0.531758,4.0,166.1738,15.32156,0.254487,0.3225,0.2178266,63
177555,1115.5,0.526838,4.0,166.3875,15.314,0.255947,0.3246,0.2194402,63
177556,1115.6,0.519698,4.0,166.86,15.28822,0.256894,0.3267,0.2230494,63
177557,1115.7,0.510678,4.0,167.535,15.15984,0.256558,0.32796,0.2283088,63
177558,1115.8,0.500278,4.0,168.2213,15.11615,0.256042,0.32922,0.233783,63
177559,1115.9,0.489038,4.0,168.8512,15.18738,0.255469,0.33048,0.2389239,63
177560,1116.0,0.478318,4.0,169.3688,15.26651,0.254198,0.3309,0.2432313,63
177561,1116.1,0.469298,4.0,169.4138,15.64632,0.254119,0.33174,0.2436095,63
177562,1116.2,0.462958,4.0,168.9075,16.27445,0.255036,0.33258,0.2393884,63
177563,1116.3,0.459938,4.0,168.0862,17.10217,0.256679,0.33342,0.2326958,63
177564,1116.4,0.460878,4.0,167.22,17.99105,0.258325,0.33384,0.2258392,63
177565,1116.5,0.465278,4.0,166.5112,18.93567,0.26008,0.33426,0.2203797,63
177566,1116.6,0.472358,4.0,166.0725,19.79276,0.261313,0.33426,0.2170665,63
177567,1116.7,0.481358,4.0,165.7125,20.73203,0.26302,0.33468,0.2143851,63
177568,1116.8,0.491658,4.0,165.465,21.7205,0.265093,0.33552,0.2125609,63
177569,1116.9,0.502318,4.0,165.2625,22.4304,0.266262,0.33552,0.2110799,63
177570,1117.0,0.513138,4.0,164.9925,23.00143,0.267485,0.33552,0.2091214,63
177571,1117.1,0.524038,4.0,164.7675,22.94893,0.26694,0.33384,0.2075031,63
177572,1117.2,0.534758,4.0,164.88,22.45583,0.265522,0.33174,0.2083106,63
177573,1117.3,0.544938,4.0,165.2513,21.43397,0.262879,0.3288,0.210998,63
177574,1117.4,0.554518,4.0,165.7913,20.08195,0.259532,0.32544,0.2149689,63
177575,1117.5,0.563238,4.0,166.4325,18.78787,0.256802,0.32292,0.2197814,63
177576,1117.6,0.570418,4.0,167.13,17.56641,0.254283,0.32082,0.2251385,63
177577,1117.7,0.575878,4.0,167.8613,16.56377,0.252416,0.31956,0.2308951,63
177578,1117.8,0.579258,4.0,168.6375,15.65928,0.250329,0.3183,0.2371671,63
177579,1117.9,0.580238,4.0,169.38,14.93596,0.248533,0.31746,0.2433258,63
177580,1118.0,0.577178,4.0,169.9425,14.36159,0.247138,0.31704,0.2480977,63
177581,1118.1,0.570898,4.0,170.3587,13.817,0.245732,0.31662,0.251689,63
177582,1118.2,0.565978,4.0,170.8875,13.27125,0.244231,0.3162,0.256326,63
177583,1118.3,0.561738,4.0,171.27,12.82608,0.243391,0.3162,0.2597337,63
177584,1118.4,0.558978,4.0,171.45,12.4663,0.242941,0.3162,0.2613529,63
177585,1118.5,0.558158,4.0,171.7312,12.2456,0.242885,0.31662,0.2639033,63
177586,1118.6,0.558498,4.0,172.17,12.12668,0.242663,0.31704,0.2679314,63
177587,1118.7,0.558778,4.0,172.1475,12.23554,0.243136,0.31746,0.2677234,63
177588,1118.8,0.557698,4.0,171.9225,12.40634,0.242985,0.31704,0.2656516,63
177589,1118.9,0.554878,4.0,171.8212,12.65166,0.242527,0.31662,0.2647245,63
177590,1119.0,0.550118,4.0,171.4725,12.92248,0.241882,0.31578,0.261556,63
177591,1119.1,0.544778,4.0,170.6175,13.31666,0.242341,0.31536,0.2539477,63
177592,1119.2,0.540578,4.0,169.65,13.60884,0.242996,0.31494,0.2456047,63
177593,1119.3,0.539698,4.0,168.6825,13.68415,0.243843,0.31452,0.2375359,63
177594,1119.4,0.542318,4.0,167.5688,13.56398,0.245512,0.31452,0.2285751,63
177595,1119.5,0.548178,4.0,166.6237,13.13201,0.247559,0.31494,0.2212375,63
177596,1119.6,0.556458,4.0,166.1062,12.48271,0.250456,0.31662,0.2173196,63
177597,1119.7,0.566318,4.0,166.1062,11.60896,0.25363,0.31914,0.2173196,63
177598,1119.8,0.576398,4.0,166.455,10.70442,0.257614,0.32292,0.2199522,63
177599,1119.9,0.586198,4.0,167.1187,9.76674,0.261565,0.32712,0.225051,63
177600,1120.0,0.595498,4.0,167.94,8.911003,0.265656,0.33174,0.2315238,63
177601,1120.1,0.603318,4.0,168.7275,8.084371,0.268817,0.33552,0.2379052,63
177602,1120.2,0.607978,4.0,169.1325,7.408043,0.272296,0.3393,0.2412554,63
177603,1120.3,0.608518,4.0,168.9637,6.783308,0.275076,0.34182,0.2398538,63
177604,1120.4,0.604178,4.0,168.12,6.316504,0.278499,0.34434,0.2329672,63
